arm,target,train_subset,train_size,seed,training_seconds,rmse,mae,r2,pearson_r,spearman_rho,bias,inference_seq_per_second,inference_ms_per_sequence,device,peak_rss_mb,peak_gpu_mb,epochs_ran
esm2_8m_mlp,log10_pgen,1k,1000,42,3.94,1.0915541051919524,0.7402943732362133,0.660605057411438,0.8169628083446634,0.8234968097446708,0.15321451674286654,516076.35393841757,0.0019376977696585731,cuda,1199.19140625,23.45751953125,36.0
esm2_8m_mlp,log10_pgen,1k,1000,43,3.62,1.0795015732119884,0.7359788250816464,0.6680586231435096,0.8196909145226835,0.825906573915183,0.11602056096385072,521901.14098656137,0.0019160716876565505,cuda,1202.671875,23.45751953125,33.0
esm2_8m_mlp,log10_pgen,1k,1000,44,4.23,1.0792830312542607,0.7377109537684872,0.6681930106739722,0.8189650446270591,0.8286560440522147,0.09293785484005393,533565.0251171781,0.0018741858122735583,cuda,1198.1796875,23.45751953125,39.0
irrm_pretrained,log10_pgen,1k,1000,42,9.58,0.8726550760693804,0.5738058147665613,0.783079762948996,0.9159395638398967,0.904600743389775,0.3580331865933481,51294.28117321873,0.01949535069266377,cuda,1545.14453125,255.98876953125,24.0
irrm_pretrained,log10_pgen,1k,1000,43,9.41,0.8380269458087515,0.5430632993028036,0.799953573378763,0.9165763115138791,0.9104608804983463,0.29427279298237435,51134.894099149045,0.01955611755176474,cuda,1530.4296875,255.98876953125,24.0
irrm_pretrained,log10_pgen,1k,1000,44,10.64,0.8284073138270375,0.5369289222086728,0.8045198421966144,0.9202394479936183,0.9145521115122686,0.31079326245117705,50260.79320984828,0.019896223997596132,cuda,1533.0625,255.98876953125,27.0
irrm_pretrained,log10_pgen,1k,1000,45,6.98,0.8730714403127777,0.5729750874305046,0.7828727180827383,0.9150187388529426,0.9086835384224735,0.3783469468940029,80348.14928043708,0.012445837383381736,cuda,1551.4609375,255.98876953125,28.0
irrm_pretrained,log10_pgen,1k,1000,46,10.14,0.8955693146946709,0.5783578312292941,0.7715383856109055,0.9135258281103794,0.9083706530804575,0.3708126548954926,50534.95524079303,0.019788283085146102,cuda,1527.92578125,255.98876953125,26.0
irrm_pretrained,log10_pgen,1k,1000,47,5.36,0.8396945597007993,0.5545821248403418,0.7991566249701977,0.9113736381289581,0.9056997342503031,0.28816276817374503,80618.55931828934,0.012404091668915962,cuda,1551.01953125,255.98876953125,21.0
irrm_pretrained,log10_pgen,1k,1000,48,7.28,0.8150718432048386,0.5475463423471961,0.8107627565877321,0.9143665674978133,0.905040473254371,0.1834927141464866,50143.35650795583,0.019942821335491138,cuda,1533.8359375,255.98876953125,18.0
irrm_pretrained,log10_pgen,1k,1000,49,8.05,0.8704777136313411,0.5613098881755785,0.7841608882495538,0.9197475352791084,0.9121646002518446,0.3501417096914958,80054.3104401068,0.012491519750809137,cuda,1556.7109375,255.98876953125,32.0
irrm_pretrained,log10_pgen,1k,1000,50,9.15,0.8728682173569736,0.5556686607249849,0.7829737868166594,0.9069782520813081,0.9077522395634259,0.26813947600043,49952.29768064458,0.020019099149216475,cuda,1524.78125,255.98876953125,23.0
irrm_pretrained,log10_pgen,1k,1000,51,5.82,0.8444090542591324,0.550895488311041,0.7968950094359974,0.9150288894370522,0.9074025004235194,0.29766531813792796,80316.62807986789,0.01245072189790621,cuda,1566.3046875,255.98876953125,23.0
irrm_scratch,log10_pgen,1k,1000,42,13.39,0.8273421285536087,0.5551784896127165,0.8050222248124117,0.909914579519032,0.9121780503326388,0.008624446700217612,50720.321822123,0.019715963228841813,cuda,1529.171875,255.98876953125,29.0
irrm_scratch,log10_pgen,1k,1000,43,16.43,0.7659800942598978,0.4832207026282427,0.8328717756010071,0.9169360837216642,0.9190804948555896,0.13152816635376696,51292.88083902965,0.019495882930386756,cuda,1526.18359375,255.98876953125,37.0
irrm_scratch,log10_pgen,1k,1000,44,14.37,0.7734791074501303,0.48697228424591754,0.8295833567191366,0.9177807024004445,0.9177315561830938,0.134461495555832,50365.65252164455,0.019854800840121183,cuda,1539.015625,255.98876953125,36.0
irrm_scratch,log10_pgen,1k,1000,45,6.0,0.8539224789496141,0.5486367348054839,0.7922927172235745,0.8934616865743961,0.8922835537384012,0.14120462825912458,81472.33337984262,0.012274105312999588,cuda,1563.94921875,255.98876953125,24.0
irrm_scratch,log10_pgen,1k,1000,46,10.49,0.821753873046916,0.5321979550634945,0.8076472714601192,0.9006659274404937,0.8979426733955749,0.10031384699661687,50611.856025323556,0.019758216325827915,cuda,1526.07421875,255.98876953125,27.0
irrm_scratch,log10_pgen,1k,1000,47,7.49,0.8155386677194593,0.5207589655369478,0.8105459269103279,0.9062289998614832,0.9034322766161501,0.1744060220632375,81164.71916927739,0.012320624160780953,cuda,1555.8046875,255.98876953125,30.0
irrm_scratch,log10_pgen,1k,1000,48,10.13,1.0387836221780697,0.6855247208672894,0.6926274929312484,0.894016387851271,0.8914120357400651,0.5572090034998788,50667.35209156709,0.019736575106446837,cuda,1527.1015625,255.98876953125,26.0
irrm_scratch,log10_pgen,1k,1000,49,5.84,0.8624344844562729,0.5699924510092282,0.7881311746289452,0.8912662667482427,0.8891159235445192,0.07916370451294726,80878.741597902,0.01236418841642734,cuda,1541.0234375,255.98876953125,23.0
irrm_scratch,log10_pgen,1k,1000,50,11.18,0.8471909549401387,0.5283402923875888,0.7955545485946303,0.9049882896587529,0.9049888220927975,0.2020672699252005,50459.30508681347,0.019817950292409597,cuda,1538.03125,255.98876953125,29.0
irrm_scratch,log10_pgen,1k,1000,51,7.99,0.7730128518213162,0.5031581391390016,0.8297887501673299,0.9138801307741508,0.9151692724245305,0.02280371236558214,80576.88220665505,0.012410507488181363,cuda,1577.8984375,255.98876953125,32.0
sceptr_mlp,log10_pgen,1k,1000,42,4.47,1.1015078458851626,0.7649751967259993,0.6543870382698407,0.8100436681628357,0.804978245151527,0.07793970883382847,778354.4681485145,0.0012847616875364225,cuda,1170.66796875,21.20751953125,43.0
sceptr_mlp,log10_pgen,1k,1000,43,3.26,1.1016636574753431,0.7619187374556721,0.6542892553733989,0.811423946447547,0.8051246776840334,0.12022796173619192,882398.3426362096,0.0011332750206810786,cuda,1166.8515625,21.20751953125,32.0
sceptr_mlp,log10_pgen,1k,1000,44,3.67,1.0896400265903015,0.761396253152809,0.6617942958022931,0.8142103565529715,0.8080201289452699,0.04627952788417081,908732.0562786325,0.0011004343833705182,cuda,1171.33203125,21.20751953125,35.0
tcr_bert_mlp,log10_pgen,1k,1000,42,5.05,0.8760345003106056,0.5819093645526308,0.7813964290543859,0.8881443789227367,0.8913580831616918,0.12819454572911565,318430.06197725417,0.0031404070136802323,cuda,1246.765625,28.14501953125,40.0
tcr_bert_mlp,log10_pgen,1k,1000,43,4.17,0.8632398237103549,0.5830586150560361,0.7877353046815565,0.8891474748834872,0.8893524914152939,0.055539820699031614,309981.80367169366,0.0032259958105770458,cuda,1244.59375,28.14501953125,35.0
tcr_bert_mlp,log10_pgen,1k,1000,44,6.12,0.8580475606372164,0.579303658373242,0.7902811083390895,0.8897587965843224,0.8932709859909886,0.02707135115754949,291458.1496005449,0.003431024321572549,cuda,1249.66015625,28.14501953125,52.0
tfidf_ridge,log10_pgen,1k,1000,42,0.44,1.276955755696797,0.8800488403651113,0.5355205204794624,0.7459285398734663,0.7755971181289645,0.24748485510618118,46905.79064077635,0.021319329369339647,cpu,655.55078125,0.0,
esm2_8m_mlp,log10_pgen,10k,10000,42,14.47,0.7966986650954415,0.5174849735727736,0.8191980913374267,0.9071021327654052,0.9216778640250258,0.11214545445353795,520928.62497661123,0.001919648781145206,cuda,1217.65234375,23.45751953125,60.0
esm2_8m_mlp,log10_pgen,10k,10000,43,12.23,0.8015686329227331,0.5239774840812171,0.8169809655284199,0.904688112817364,0.9187355591684678,0.06898057147978498,543791.4727871665,0.0018389402005047405,cuda,1217.609375,23.45751953125,52.0
esm2_8m_mlp,log10_pgen,10k,10000,44,11.7,0.8130470777845348,0.5269840306024154,0.8117017783783829,0.9031960836644991,0.9162947786091444,0.11342834681753776,519796.4815531242,0.001923829874746465,cuda,1216.08203125,23.45751953125,48.0
irrm_pretrained,log10_pgen,10k,10000,42,38.49,0.5019841051682237,0.35627390506351453,0.9282214363308795,0.975111086691799,0.9682088622524755,0.2690681770530914,49387.35804129182,0.020248096672106232,cuda,1536.140625,255.36376953125,28.0
irrm_pretrained,log10_pgen,10k,10000,43,29.14,0.6072004539701912,0.427645045166025,0.8949783089310082,0.9724442690808554,0.9664332662967745,0.36938994676744685,49579.00388832995,0.020169828386475165,cuda,1534.71484375,255.36376953125,21.0
irrm_pretrained,log10_pgen,10k,10000,44,54.5,0.4370812238168363,0.29203450514300294,0.9455824314863231,0.9769737912781561,0.9738792892972243,0.16793524652596767,48117.34292600225,0.020782527446244488,cuda,1558.37890625,255.36376953125,39.0
irrm_pretrained,log10_pgen,10k,10000,45,19.05,0.5500174080896365,0.36935044114925275,0.91382769653112,0.9726686230820053,0.9645339276878059,0.27234471256262516,78345.31960212644,0.0127640043474002,cuda,1600.17578125,255.36376953125,26.0
irrm_pretrained,log10_pgen,10k,10000,46,13.76,0.5911542166154463,0.406977227846606,0.900455695805151,0.9714829073068255,0.9660735651292331,0.3354204946989577,78635.7118076855,0.012716868417820625,cuda,1586.33203125,255.36376953125,18.0
irrm_pretrained,log10_pgen,10k,10000,47,15.36,0.4888588784078921,0.3293540748698081,0.9319259097726058,0.9732700643861482,0.9664655902116925,0.21819266897231107,78277.66738632193,0.012775035759110239,cuda,1579.4765625,255.36376953125,21.0
irrm_pretrained,log10_pgen,10k,10000,48,16.01,0.5354970143071539,0.3902579098488256,0.9183175154346566,0.974014324072708,0.9671961798973695,0.31852752852926525,78617.67365585294,0.01271978619435468,cuda,1596.01171875,255.36376953125,21.0
irrm_pretrained,log10_pgen,10k,10000,49,18.22,0.5581728783451227,0.40858714159675347,0.9112532837722653,0.9728205507714903,0.960817491415762,0.3282748804806309,77998.74070560814,0.012820719808468646,cuda,1599.359375,255.36376953125,25.0
irrm_pretrained,log10_pgen,10k,10000,50,19.25,0.5270736550875357,0.38627417251271373,0.9208670328180113,0.9744715976870983,0.9647418996062248,0.3086164301141052,78419.26439319062,0.01275196863599798,cuda,1584.53515625,255.36376953125,26.0
irrm_pretrained,log10_pgen,10k,10000,51,12.61,0.6251439984244976,0.45201107165020654,0.8886795471851842,0.9676513537306013,0.9604122315429587,0.3910038787630061,78106.44570462324,0.012803040657895516,cuda,1590.1171875,255.36376953125,17.0
irrm_scratch,log10_pgen,10k,10000,42,19.37,0.5751521553443715,0.36240860395121677,0.9057719214879167,0.9520192928529396,0.9524838673585823,0.04430426241683526,50632.00661867529,0.019750352924609478,cuda,1542.84375,255.36376953125,14.0
irrm_scratch,log10_pgen,10k,10000,43,31.69,0.5007316165717091,0.3300130508894094,0.928579175452831,0.9642083396331315,0.9665581193770536,-0.06257023294812729,49718.20607856898,0.020113356431640233,cuda,1534.55078125,255.36376953125,23.0
irrm_scratch,log10_pgen,10k,10000,44,61.01,0.4469771841868142,0.27836988726873746,0.9430903987777541,0.9741013193473115,0.9754319376831495,0.13597858457402748,49778.46625232864,0.02008900786398215,cuda,1544.23046875,255.36376953125,45.0
irrm_scratch,log10_pgen,10k,10000,45,38.13,0.4631258469189825,0.3008167975501209,0.938903986870447,0.9704180906902137,0.9711355946769996,0.08284721902999719,49424.02072992871,0.020233076654454583,cuda,1549.046875,255.36376953125,28.0
irrm_scratch,log10_pgen,10k,10000,46,15.11,0.513747792852385,0.3283076451165438,0.9248178449988129,0.9619094348416142,0.9659900784041277,0.03270629272861952,79673.31215256036,0.012551254278034482,cuda,1578.6796875,255.36376953125,20.0
irrm_scratch,log10_pgen,10k,10000,47,23.61,0.45577350966876207,0.29101608587140165,0.9408284438149535,0.9699673282824827,0.9704972919439828,0.005078207319413182,79138.31108404836,0.012636104894100608,cuda,1592.99609375,255.36376953125,32.0
irrm_scratch,log10_pgen,10k,10000,48,41.17,0.4734539790509061,0.3158020615534417,0.9361486074139419,0.9680498037965779,0.9701016241272683,-0.05792117853843921,49208.22809005352,0.02032180468213466,cuda,1542.109375,255.36376953125,30.0
