target,train_subset,n_scratch,n_pretrained,irrm_scratch,irrm_pretrained,rmse_delta,relative_improvement,p_value,verdict
log10_pgen,1k,10,10,0.8379438263375423,0.8550251478865704,-0.017081321549028083,-0.020384805057501967,0.5270257428158892,no detectable effect
log10_pgen,10k,10,10,0.5051515834654494,0.5422183832232537,-0.03706679975780425,-0.0733775780796686,0.15732847985243456,no detectable effect
log10_pgen,all,10,10,0.335786365286816,0.29094909474054964,0.04483727054626635,0.13352915776662955,0.117526241878387,no detectable effect
log10_pgen_1mm,1k,10,10,0.6314524434831694,0.6569231613419194,-0.02547071785874999,-0.04033671596589345,0.3072070679790528,no detectable effect
log10_pgen_1mm,10k,10,10,0.3957156960248885,0.4086669762038501,-0.012951280178961633,-0.0327287502342264,0.49998985357929854,no detectable effect
log10_pgen_1mm,all,10,10,0.26531851191929495,0.2097747138003479,0.05554379811894705,0.20934761663310725,0.011632512578723934,pretraining helps
