target,train_subset,arm,seeds,train_size,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,pearson_r_mean,pearson_r_std,spearman_rho_mean,spearman_rho_std,bias_mean,bias_std,training_seconds_mean,inference_seq_per_second_mean,peak_rss_mb_mean,peak_gpu_mb_mean
log10_pgen,1k,irrm_scratch,10,1000,0.8379438263375423,0.07867249592710443,0.5413980735295911,0.0580446314810705,0.798406523904873,0.040498992051886576,0.9049139054549931,0.009840024528434311,0.904333465892336,0.011361519326849367,0.1551782296232404,0.15390117173821022,10.331,62821.00447401784,1542.425390625,255.98876953125
log10_pgen,1k,irrm_pretrained,10,1000,0.8550251478865704,0.025339719180604656,0.5575133459336978,0.013908713333604477,0.7915913348278159,0.01233799418292649,0.9148794772734956,0.0038483435506742065,0.9084727474646785,0.0031749550782257897,0.30998608299664804,0.05861494528750305,8.241,62465.82250303106,1542.067578125,255.98876953125
log10_pgen,1k,tcr_bert_mlp,3,1000,0.8657739615527257,0.009257369532250346,0.581423879327303,0.0019239794308733246,0.7864709473583439,0.004575295736734588,0.8890168834635155,0.0008150930534225373,0.8913271868559915,0.001959429986301301,0.07026857252856558,0.05214573058201129,5.113333333333333,306623.3384164976,1247.0065104166667,28.14501953125
log10_pgen,1k,esm2_8m_mlp,3,1000,1.083446236552734,0.007022470402211829,0.7379947173621156,0.002171722887800877,0.6656188970763066,0.004342632397618175,0.8185395891648021,0.001412940229596168,0.8260198092373562,0.0025814804548312297,0.12072431084892372,0.030412381356488497,3.93,523847.50668071903,1200.0143229166667,23.45751953125
log10_pgen,1k,sceptr_mlp,3,1000,1.0976038433169357,0.006897307587346891,0.7627633957781601,0.0019332084823762091,0.6568235298151776,0.0043050872520435145,0.8118926570544515,0.0021225197902238176,0.8060410172602768,0.0017155240942351325,0.0814823994847304,0.03710128987080741,3.7999999999999994,856494.9556877855,1169.6171875,21.20751953125
log10_pgen,1k,tfidf_ridge,1,1000,1.276955755696797,,0.8800488403651113,,0.5355205204794624,,0.7459285398734663,,0.7755971181289645,,0.24748485510618118,,0.44,46905.79064077635,655.55078125,0.0
log10_pgen,10k,irrm_scratch,10,10000,0.5051515834654494,0.054951652825074,0.3271744047929508,0.041713085823000436,0.9265386059854499,0.016676524110579356,0.9654555653445005,0.006190666031767679,0.9670376819703789,0.006265392894722844,0.05654215627852953,0.12147756529555402,28.3,64329.13142336295,1563.64609375,255.36376953125
log10_pgen,10k,irrm_pretrained,10,10000,0.5422183832232536,0.057352525306723294,0.38187654948467087,0.04724556949707446,0.9154108858067206,0.017514758663127572,0.9730908568087688,0.0024674093272134758,0.9658762303337521,0.0038073550349844287,0.2978773964467407,0.06780555517243432,23.639,69548.45281110329,1576.52421875,255.36376953125
log10_pgen,10k,tcr_bert_mlp,3,10000,0.5680795314054411,0.004031119636653914,0.37845706811385776,0.004133997900017408,0.9080720250297891,0.0013031846861411404,0.9532419033372737,0.0005358170938291702,0.9548576837254182,0.0018316667053695878,0.026503910442178022,0.01914405941888179,13.656666666666666,315803.3855036165,1272.2252604166667,28.14501953125
log10_pgen,10k,tfidf_ridge,1,10000,0.76592457502429,,0.5084579081617813,,0.83289600206607,,0.9129297738264299,,0.9404228939259158,,0.03423942511518709,,0.8,59776.55467359597,649.6875,0.0
