representation,seeds,exact_match_mean,exact_match_std,token_accuracy_mean,token_accuracy_std,normalized_levenshtein_mean,normalized_levenshtein_std,within_edit_distance_1_mean,within_edit_distance_1_std,mean_edit_distance_mean,mean_edit_distance_std,training_seconds_mean,epochs_mean,inference_seq_per_second_mean,source_dim,explained_variance
onehot,3,0.9143841343098892,0.000579261833239334,0.9877891614408214,0.00024319938015680297,0.01056105773020508,0.00011551268752343819,0.9643155747299422,0.0007530403832110864,0.1716330557506438,0.002357958561529363,1791.756666666667,43.0,6807.05543260735,1000,0.379862
sceptr,3,0.9004715561352463,0.008082103892102458,0.9866083963914668,0.0011846876856216142,0.011231533185932395,0.0009752447238186415,0.9586301461489583,0.004247612915008504,0.17648239189324774,0.014920687424517944,1321.77,31.666666666666668,6780.777696481416,64,1.0
tcremp,3,0.8016788736162671,0.003787858636103861,0.9783910396252272,0.00040730266245565675,0.019678939844650776,0.00042151801606229864,0.9405705494799506,0.001568291908323191,0.29497341226045953,0.006964885880127865,1795.54,44.0,6967.76587824797,9000,0.949757
tcr_bert,3,0.7699742483528978,0.005608080292114219,0.9643970538472061,0.0008234554615370438,0.02908063802868671,0.00102485441003165,0.8878632821644761,0.006644867995664911,0.45082104277448914,0.015063146809206184,1173.7533333333333,28.666666666666668,6864.157044587952,768,0.910277
esm2_8m,3,0.6510150162201933,0.0013658792586644186,0.9325931952414209,0.0002675893887576123,0.05598791957405413,0.0002747368639656366,0.7692384870071235,0.00199908285794834,0.8491689241162503,0.005769110528054075,1435.2366666666667,35.0,6719.6338412659425,320,0.974346
