arm,target,train_subset,train_size,seed,training_seconds,rmse,mae,r2,pearson_r,spearman_rho,bias,inference_seq_per_second,inference_ms_per_sequence,device,peak_rss_mb,peak_gpu_mb,epochs_ran
esm2_8m_mlp,log10_pgen,1k,1000,42,5.34,1.0771408535945268,0.7260378855007953,0.669508854815493,0.8216067160495758,0.8331470316606933,0.13865496676993277,705960.7233955928,0.0014165093989791824,cuda,1197.78125,23.45751953125,60.0
esm2_8m_mlp,log10_pgen,1k,1000,43,5.1,1.0751237520233003,0.7263235609554174,0.6707454805022155,0.8223345359775261,0.8340828674416486,0.13843278495773942,747093.4212828245,0.00133852068765766,cuda,1194.6875,23.45751953125,60.0
esm2_8m_mlp,log10_pgen,1k,1000,44,4.11,1.0695933554075805,0.7286857503677006,0.6741241143295938,0.8228841204325575,0.8323480349886503,0.10114906892531643,735015.6226967543,0.001360515299431357,cuda,1195.64453125,23.45751953125,46.0
irrm_pretrained,log10_pgen,1k,1000,42,6.24,0.8649319159558528,0.573572627859008,0.7869023415752135,0.9225699791418592,0.9119520006525227,0.4028323986191931,80863.50773405924,0.0123665177039903,cuda,1552.5234375,255.98876953125,25.0
irrm_pretrained,log10_pgen,1k,1000,43,5.9,0.8313225259801558,0.5495318621784235,0.8031416099725512,0.9236803569147729,0.9135004792110046,0.36259704153653866,78945.20760898925,0.012667013366446999,cuda,1550.91015625,255.98876953125,23.0
irrm_pretrained,log10_pgen,1k,1000,44,6.16,0.8039642867965016,0.5216304005308618,0.8158853501548303,0.929212427359479,0.922879820889854,0.3472389288297001,80992.25445801619,0.012346859668147256,cuda,1545.44140625,255.98876953125,25.0
irrm_pretrained,log10_pgen,1k,1000,45,6.53,0.8174569543838605,0.5322813395104757,0.8096536218416155,0.9271785368544058,0.9203442313044025,0.3599058488751396,80060.79152636931,0.012490508536511706,cuda,1544.26171875,255.98876953125,26.0
irrm_pretrained,log10_pgen,1k,1000,46,7.85,0.8237597476667486,0.5406323265712351,0.8067070717851613,0.9297969710103117,0.9226493652846909,0.3918390707428683,79906.00704535747,0.012514703674685743,cuda,1563.98046875,255.98876953125,30.0
irrm_pretrained,log10_pgen,1k,1000,47,6.61,0.795733847970004,0.5171656860759076,0.8196357352293764,0.9285150090131103,0.921082252441927,0.3313119003076507,77841.70608175163,0.012846583795963706,cuda,1548.0859375,255.98876953125,25.0
irrm_pretrained,log10_pgen,1k,1000,48,5.72,0.8021244491460586,0.5302790450689656,0.816727062835779,0.9220099669223497,0.9179323947568008,0.31359157081286243,80136.58582260921,0.012478694840002361,cuda,1566.8984375,255.98876953125,22.0
irrm_pretrained,log10_pgen,1k,1000,49,4.68,0.8318569691142761,0.5448034584308773,0.8028884147796086,0.907612296788354,0.9008832577185555,0.2114075241262159,80186.96882282455,0.012470854238293123,cuda,1556.875,255.98876953125,18.0
irrm_pretrained,log10_pgen,1k,1000,50,5.84,0.7830557427649305,0.5141476876670233,0.8253372917973597,0.922166417284953,0.9141818947508201,0.24003536004227982,80261.9705837884,0.012459200698991854,cuda,1547.0625,255.98876953125,23.0
irrm_pretrained,log10_pgen,1k,1000,51,4.96,0.7998190142313116,0.5398007120038264,0.8177790607593768,0.9173102792460404,0.9079210168206249,0.28461443290058946,79910.51413303308,0.012513997824306627,cuda,1562.07421875,255.98876953125,19.0
irrm_scratch,log10_pgen,1k,1000,42,7.69,0.8441119514619323,0.5319142441170579,0.7970379080578323,0.9051526732558525,0.906339826203102,0.25311759515793814,78739.84026758223,0.01270005116344778,cuda,1565.42578125,255.98876953125,30.0
irrm_scratch,log10_pgen,1k,1000,43,10.56,0.7437902178581257,0.4714709206837621,0.8424146805105919,0.9204954050970439,0.9219248220744659,0.1288298033379222,80851.88208602746,0.012368295878826752,cuda,1546.63671875,255.98876953125,44.0
irrm_scratch,log10_pgen,1k,1000,44,6.41,0.9439559508218183,0.6187347933622375,0.7461844128303036,0.8696195540239993,0.8685103108517291,0.18257265629955535,78595.5292329371,0.012723370015567363,cuda,1561.90234375,255.98876953125,25.0
irrm_scratch,log10_pgen,1k,1000,45,6.98,0.885964311952314,0.5553881292737052,0.7764126193240595,0.8968896378559235,0.8945789702406476,0.26261517141442153,80666.26935827773,0.012396755272746265,cuda,1546.95703125,255.98876953125,28.0
irrm_scratch,log10_pgen,1k,1000,46,5.84,0.9763104933844673,0.6321716080463298,0.7284869263676981,0.870469034070754,0.861312281330798,0.31175582583126027,80848.42252814662,0.012368825126450171,cuda,1545.22265625,255.98876953125,23.0
irrm_scratch,log10_pgen,1k,1000,47,8.73,0.8783602742491172,0.5487071160322827,0.780234152019625,0.9088537530042312,0.9072049580677213,0.3422900177627635,76363.0089395081,0.013095345690112373,cuda,1551.3046875,255.98876953125,34.0
irrm_scratch,log10_pgen,1k,1000,48,10.64,0.919467769293943,0.58948479091107,0.7591826060141407,0.9116245478710833,0.9121262001095223,0.4535502971643727,79905.32213663701,0.012514810944507722,cuda,1558.87890625,255.98876953125,42.0
irrm_scratch,log10_pgen,1k,1000,49,6.74,0.8736720995109767,0.5701165193450962,0.7825738551116111,0.8916065482310117,0.8876233950864687,0.20014242571748278,80802.20622960075,0.012375899702026502,cuda,1573.88671875,255.98876953125,27.0
irrm_scratch,log10_pgen,1k,1000,50,10.54,0.7922520694606673,0.49711589769390385,0.8212106701729678,0.9145798789121482,0.9180335296945293,0.1337827529050968,80315.75408298723,0.012450857386792856,cuda,1540.3359375,255.98876953125,43.0
irrm_scratch,log10_pgen,1k,1000,51,11.01,0.7476454702404467,0.48343691228369096,0.8407768378569647,0.9201273521939399,0.9226283285508657,0.0296063515905427,80351.0919746068,0.012445381580078938,cuda,1551.796875,255.98876953125,45.0
sceptr_mlp,log10_pgen,1k,1000,42,4.74,1.0981920422083575,0.7610458447203725,0.6564646628435225,0.8121566102601996,0.8074398847933616,0.10412556109970554,1062266.7426666566,0.0009413831383722458,cuda,1172.00390625,21.20751953125,60.0
sceptr_mlp,log10_pgen,1k,1000,43,3.42,1.0999811361432124,0.7624915073977926,0.655344425928786,0.8120102287560248,0.8046603984441668,0.11799728837458752,1061074.718902842,0.00094244069921297,cuda,1168.94140625,21.20751953125,43.0
sceptr_mlp,log10_pgen,1k,1000,44,3.2,1.0940586433868646,0.758922927361791,0.6590458075780972,0.8133347744266023,0.8086149192965398,0.09307519652395542,1071874.0294636576,0.0009329454511556532,cuda,1174.91796875,21.20751953125,39.0
tcr_bert_mlp,log10_pgen,1k,1000,42,4.65,0.8673881393172919,0.5780485788243145,0.7856903186825444,0.8898886415389792,0.8930102409604314,0.10531888878673068,476370.05146904866,0.002099208371550984,cuda,1242.5546875,28.14501953125,48.0
