target,train_subset,arm,seeds,train_size,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,pearson_r_mean,pearson_r_std,spearman_rho_mean,spearman_rho_std,bias_mean,bias_std,training_seconds_mean,inference_seq_per_second_mean,peak_rss_mb_mean,peak_gpu_mb_mean
log10_pgen,1k,irrm_pretrained,10,1000,0.81540254540097,0.023651584767435244,0.5363845145896604,0.01761324618463643,0.8104657560730872,0.011097509580039815,0.9230052240535637,0.006701123055612074,0.9153326713831202,0.007112225627182163,0.32453740767930384,0.06286931463118653,6.049,79910.55138167983,1553.811328125,255.98876953125
log10_pgen,1k,irrm_scratch,10,1000,0.8605530608233808,0.07907712609580614,0.5498540931749136,0.05496680052186431,0.7874514668265794,0.038402525773423256,0.9009418384515987,0.01869080920210034,0.900028262220985,0.021674349507537095,0.22982628971813562,0.12186389434072437,8.514,79743.93268363111,1554.234765625,255.98876953125
log10_pgen,1k,tcr_bert_mlp,3,1000,0.8641840324486602,0.004571642536440778,0.5752700931258724,0.0026833632063272307,0.7872667330672515,0.0022475456545458564,0.8909852972973177,0.0013013139211785886,0.8942322659764437,0.0011842031778845218,0.09581540536927798,0.013044363649120726,5.343333333333334,481114.6119121562,1245.4192708333333,28.14501953125
log10_pgen,1k,esm2_8m_mlp,3,1000,1.0739526536751358,0.003907657319455539,0.7270157322746377,0.0014533144669035686,0.6714594832157674,0.0023890385099123545,0.8222751241532199,0.000640771264232261,0.8331926446969974,0.0008683152203000417,0.1260789402176629,0.021590187659655407,4.8500000000000005,729356.5891250572,1196.0377604166667,23.45751953125
log10_pgen,1k,sceptr_mlp,3,1000,1.097410607246145,0.0030375912434647237,0.7608200931599853,0.0017949689951640149,0.6569516321168019,0.0018981335130340972,0.8125005378142754,0.000726167976573551,0.806905067511356,0.0020307833308386533,0.1050660153327495,0.012487634130457757,3.7866666666666666,1065071.8303443855,1171.9544270833333,21.20751953125
log10_pgen,1k,tfidf_ridge,1,1000,1.2769573384805994,,0.8800498060420275,,0.5355193690361973,,0.7459276280012653,,0.7755959954308803,,0.24748512995339594,,0.18,82046.7449062024,647.671875,0.0
log10_pgen,10k,irrm_scratch,10,10000,0.48468864648435217,0.017093841387999915,0.3079190504390036,0.01637888879825529,0.9330074645214808,0.004709659869646582,0.9699538184023497,0.0027724153081702158,0.9741865097600041,0.0029359356023705156,0.1198594851930735,0.0708025137861426,28.534999999999997,78848.62979964017,1590.3546875,255.36376953125
log10_pgen,10k,irrm_pretrained,10,10000,0.5149901453584536,0.025042621888465344,0.3603541024110505,0.027959074461221787,0.9242930177410577,0.007147733530583638,0.9754821518342982,0.0038646581191170513,0.9696832402360751,0.0066390374950387595,0.27567033535985275,0.035946894046752415,23.556,78523.54086732784,1592.05234375,255.36376953125
log10_pgen,10k,tcr_bert_mlp,3,10000,0.5516122944038125,0.0021603582102378664,0.3603219131355763,0.001185466400222133,0.9133263377640586,0.0006781907878428965,0.956285157462856,0.00022764843655370855,0.9606232028599339,0.00043275795888619406,0.02947473944772257,0.0070081258362111026,12.99,480017.0692198961,1276.5963541666667,28.14501953125
log10_pgen,10k,tfidf_ridge,1,10000,0.7659173935252817,,0.5084553048733631,,0.8328991356685383,,0.9129315175825418,,0.9404240652599085,,0.03423890204930655,,0.58,79360.64652403284,652.96484375,0.0
log10_pgen,10k,esm2_8m_mlp,3,10000,0.7913584933496525,0.0022681686173861636,0.5107760796181203,0.0014980266616373488,0.8216127764872111,0.0010229088193688608,0.9076156426797676,0.0006399553131931383,0.9226369015627661,0.0006428760803300136,0.07899573897879536,0.013855768051405546,12.530000000000001,716944.7026687836,1217.8815104166667,23.45751953125
log10_pgen,10k,sceptr_mlp,3,10000,0.8214505411013961,0.0017721037636965911,0.534502310892864,0.0033169693385023216,0.8077886542604048,0.0008293970081266804,0.8998059552994505,0.0003966274326964802,0.9102131961914464,0.000864334949118416,0.07262300909338824,0.005833706923441675,11.246666666666668,1021530.1494876714,1182.546875,21.20751953125
