arm,device,sequences_per_second,ms_per_sequence,seconds_total
tfidf_ridge,cuda,86660.47446799547,0.011539286002516747,0.05769643001258373
irrm,cuda,64813.57391703495,0.01542886681854725,0.07714433409273624
esm2_8m_mlp,cuda,9392.62324529416,0.10646652951836587,0.5323326475918293
tcr_bert_mlp,cuda,4038.584267802087,0.24761152267456055,1.2380576133728027
sceptr_mlp,cuda,2495.308062377455,0.4007521215826273,2.0037606079131365
